date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:55	363/363	---M-Z	200	added ('OK')	text/plain	etag:%22e8f01debbe25d71:0%22	https://www.helltruth.com/robots.txt		(from )
11:16:55	39589/39589	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202025%2014:16:54%20GMT	https://www.helltruth.com/	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/index.html	(from )
11:16:56	89380/89380	---M-Z	200	added ('OK')	text/css	etag:%220ff118c3afeda4c8b35c2bf1506f70fe%22	https://www.helltruth.com/DependencyHandler.axd/b3ac87637b5ba40896c9b2e1ccbb70ba/359/css	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/DependencyHandler.axd/b3ac87637b5ba40896c9b2e1ccbb70ba/359/css.css	(from https://www.helltruth.com/)
11:16:56	894/894	---M--	200	added ('OK')	image/x-icon	etag:%22224e83a311d2cf1:0%22	https://www.helltruth.com/Portals/2/favicon.ico?ver=lUePnWPfhFNJ1vCsUow51A%3d%3d	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/Portals/2/favicon1ba6.ico	(from https://www.helltruth.com/)
11:16:56	62774/62774	---M--	200	added ('OK')	image/jpeg	etag:%22+qBVUG3PQG0nb8vSscsBi6SJ+cFzO77dkqOLs2/ZaJ8%22	https://manna.amazingfacts.org/amazingfacts/website/helltruth/images/banners/hath-hell-no-fury-large.jpg	C:/Meus%20Sites/clone_hell_truth/manna.amazingfacts.org/amazingfacts/website/helltruth/images/banners/hath-hell-no-fury-large.jpg	(from https://www.helltruth.com/)
11:16:56	3152/3152	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ae23968c16ec39faa9f97db5ea5195b%22	https://static.addtoany.com/menu/page.js	C:/Meus%20Sites/clone_hell_truth/static.addtoany.com/menu/page.js	(from https://www.helltruth.com/)
11:16:57	89478/89478	---M-Z	200	added ('OK')	application/javascript	etag:%2205b4ec19dad71:0%22	https://manna.amazingfacts.org/amazingfacts/website/multiple/scripts/js/jquery-030501.js	C:/Meus%20Sites/clone_hell_truth/manna.amazingfacts.org/amazingfacts/website/multiple/scripts/js/jquery-030501.js	(from https://www.helltruth.com/)
11:16:57	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2026%20Aug%202024%2014:35:34%20GMT	https://www.helltruth.com/WebResource.axd?d=pynGkmcFUV3WbrvGqkI6RYfrv71na3b8whH-GbfwX-tW3ySziNbkeRuNR-s1&t=638602545342142403	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/WebResource3c5c.js	(from https://www.helltruth.com/)
11:16:58	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Jan%202025%2022:30:19%20GMT	https://www.helltruth.com/ScriptResource.axd?d=NJmAwtEo3Ir4XIudo_yWxV9-QM2p-9NLLiFLziz_CV_7FgwEtB5ZXlWyYxZVC7hGPVr5miXxfwyDRITGmFqSiZZGAm12gODZyhlxCry3B031Osj3U5c3rWoO8c7nFewXeZHkPw2&t=ffffffffc820c398	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/ScriptResource3c57.js	(from https://www.helltruth.com/)
11:16:58	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Jan%202025%2022:30:19%20GMT	https://www.helltruth.com/ScriptResource.axd?d=dwY9oWetJoJ2F1U12ZmKWTMAQ9w2xhS63x6iN1Q00iP_mpPZpbDLwzIYe8XiuRR6VkuMOATDkUYPlhByoRDLPmR1Txtmkth-T7hP4R1TpWnh8Os2JhupVmSrPyi81xMOB_MbpcOPd7ettn8w0&t=ffffffffc820c398	C:/Meus%20Sites/clone_hell_truth/www.helltruth.com/ScriptResource9f8c.js	(from https://www.helltruth.com/)
